dataset,board,num_cpus,chunksize,implementation,runtime
europe_osm,baldo,2,64,atomic,1.066207449858851
GAP-road,baldo,2,256,atomic,0.6729929485940137
rgg_n_2_22_s0,baldo,2,256,atomic,0.36236909995998207
europe_osm,baldo,2,256,atomic,1.0754930959242888
GAP-road,baldo,2,1024,atomic,0.760332985119301
rgg_n_2_22_s0,baldo,2,1024,atomic,0.39859195651446744
europe_osm,baldo,2,1024,atomic,1.1561917893805476
GAP-road,baldo,2,4096,atomic,0.879272027847888
rgg_n_2_22_s0,baldo,2,4096,atomic,0.47391809355510595
europe_osm,baldo,2,4096,atomic,1.1044555090169672
GAP-road,baldo,1,16,atomic,1.584786685254957
rgg_n_2_22_s0,baldo,1,16,atomic,0.9223081326750102
europe_osm,baldo,1,16,atomic,2.1655160664815103
GAP-road,baldo,1,32,atomic,1.4893102129214886
rgg_n_2_22_s0,baldo,1,32,atomic,0.8587690394118097
europe_osm,baldo,1,32,atomic,2.1096594257904084
GAP-road,baldo,1,64,atomic,1.4499644502274702
rgg_n_2_22_s0,baldo,1,64,atomic,0.8489571274048073
europe_osm,baldo,1,64,atomic,2.1730022628164534
GAP-road,baldo,1,256,atomic,1.4919651092869641
rgg_n_2_22_s0,baldo,1,256,atomic,0.8930514254255566
europe_osm,baldo,1,256,atomic,2.160896986732429
GAP-road,baldo,1,1024,atomic,1.350403868370684
rgg_n_2_22_s0,baldo,1,1024,atomic,0.8074632458266758
europe_osm,baldo,1,1024,atomic,1.991557551217782
GAP-road,baldo,1,4096,atomic,1.3786414992848428
rgg_n_2_22_s0,baldo,1,4096,atomic,0.7111142622724472
europe_osm,baldo,1,4096,atomic,1.8335249879939537
GAP-road,baldo,4,16,atomic,0.37599010829401336
rgg_n_2_22_s0,baldo,4,16,atomic,0.17102591086754781
europe_osm,baldo,4,16,atomic,0.8451787337478501
GAP-road,baldo,4,32,atomic,0.3407927873728164
rgg_n_2_22_s0,baldo,4,32,atomic,0.17385115625379022
europe_osm,baldo,4,32,atomic,0.5530368102299816
GAP-road,baldo,4,64,atomic,0.33845218629072665
rgg_n_2_22_s0,baldo,4,64,atomic,0.1786828195608095
europe_osm,baldo,4,64,atomic,0.5946115475886014
GAP-road,baldo,4,256,atomic,0.34528056056036194
rgg_n_2_22_s0,baldo,4,256,atomic,0.1915486307255305
europe_osm,baldo,4,256,atomic,0.5144304498752544
GAP-road,baldo,4,1024,atomic,0.3893027982892213
rgg_n_2_22_s0,baldo,4,1024,atomic,0.18085275302526327
europe_osm,baldo,4,1024,atomic,0.693457224773895
GAP-road,baldo,4,4096,atomic,0.8441544180249365
rgg_n_2_22_s0,baldo,4,4096,atomic,0.42574889415309913
europe_osm,baldo,4,4096,atomic,0.9331614992456441
GAP-road,baldo,8,16,atomic,0.3372452800335901
rgg_n_2_22_s0,baldo,8,16,atomic,0.1311751135856468
europe_osm,baldo,8,16,atomic,0.7782304270497383
GAP-road,baldo,8,32,atomic,0.2946755535068286
rgg_n_2_22_s0,baldo,8,32,atomic,0.18832756379486965
europe_osm,baldo,8,32,atomic,0.735674758600572
GAP-road,baldo,8,64,atomic,0.2244779141187027
rgg_n_2_22_s0,baldo,8,64,atomic,0.16178028489476073
europe_osm,baldo,8,64,atomic,0.9220853818339324
GAP-road,baldo,8,256,atomic,0.2555249475292448
rgg_n_2_22_s0,baldo,8,256,atomic,0.1442342931101793
europe_osm,baldo,8,256,atomic,0.5159927034373641
GAP-road,baldo,8,1024,atomic,0.6140856542860811
rgg_n_2_22_s0,baldo,8,1024,atomic,0.23615882332933155
europe_osm,baldo,8,1024,atomic,0.6926241108043818
GAP-road,baldo,8,4096,atomic,0.6648798774220862
rgg_n_2_22_s0,baldo,8,4096,atomic,0.831939861064739
europe_osm,baldo,8,4096,atomic,1.321527752741171
GAP-road,baldo,16,16,atomic,0.8552230418533419
rgg_n_2_22_s0,baldo,16,16,atomic,0.1177018608946288
europe_osm,baldo,16,16,atomic,0.6504935044272735
GAP-road,baldo,16,32,atomic,0.22332093099852493
rgg_n_2_22_s0,baldo,16,32,atomic,0.17009883158763922
europe_osm,baldo,16,32,atomic,0.45829008199130883
GAP-road,baldo,16,64,atomic,0.2008888681759908
rgg_n_2_22_s0,baldo,16,64,atomic,0.1850480864055889
europe_osm,baldo,16,64,atomic,0.38963832466511344
GAP-road,baldo,16,256,atomic,0.2066211334039901
rgg_n_2_22_s0,baldo,16,256,atomic,0.1430191159544996
europe_osm,baldo,16,256,atomic,0.898928067861608
GAP-road,baldo,16,1024,atomic,0.4821309876903489
rgg_n_2_22_s0,baldo,16,1024,atomic,0.44795295009573133
europe_osm,baldo,16,1024,atomic,1.0132169941960545
GAP-road,baldo,16,4096,atomic,0.8324964076339393
rgg_n_2_22_s0,baldo,16,4096,atomic,0.7544584266487097
europe_osm,baldo,16,4096,atomic,1.414440266704957
GAP-road,baldo,32,16,atomic,0.5641146483262063
rgg_n_2_22_s0,baldo,32,16,atomic,1.3532903679801616
europe_osm,baldo,32,16,atomic,0.5701234634785465
GAP-road,baldo,32,32,atomic,0.28312661637414566
rgg_n_2_22_s0,baldo,32,32,atomic,0.27438721876537614
europe_osm,baldo,32,32,atomic,0.7947103699420569
GAP-road,baldo,32,64,atomic,0.40177176565446776
rgg_n_2_22_s0,baldo,32,64,atomic,0.627768431412426
europe_osm,baldo,32,64,atomic,0.6979887010531309
GAP-road,baldo,32,256,atomic,0.5785506807066458
rgg_n_2_22_s0,baldo,32,256,atomic,0.40189341900597864
europe_osm,baldo,32,256,atomic,1.1259890850700596
GAP-road,baldo,32,1024,atomic,2.464108280554871
rgg_n_2_22_s0,baldo,32,1024,atomic,1.1447130731375625
europe_osm,baldo,32,1024,atomic,1.090203750506879
GAP-road,baldo,32,4096,atomic,1.65470984212588
rgg_n_2_22_s0,baldo,32,4096,atomic,2.250420392846163
europe_osm,baldo,32,4096,atomic,1.0844302767222778
GAP-road,baldo,2,4,openmp,0.3301240171894211
GAP-road,baldo,2,8,openmp,0.3301240171894211
GAP-road,baldo,2,16,openmp,0.3301240171894211
GAP-road,baldo,2,32,openmp,0.3301240171894211
GAP-road,baldo,2,64,openmp,0.3301240171894211
GAP-road,baldo,2,256,openmp,0.3301240171894211
GAP-road,baldo,2,1024,openmp,0.3301240171894211
GAP-road,baldo,2,4096,openmp,0.3301240171894211
rgg_n_2_22_s0,baldo,2,4,openmp,0.19059587482938914
rgg_n_2_22_s0,baldo,2,8,openmp,0.19059587482938914
rgg_n_2_22_s0,baldo,2,16,openmp,0.19059587482938914
rgg_n_2_22_s0,baldo,2,32,openmp,0.19059587482938914
rgg_n_2_22_s0,baldo,2,64,openmp,0.19059587482938914
rgg_n_2_22_s0,baldo,2,256,openmp,0.19059587482938914
rgg_n_2_22_s0,baldo,2,1024,openmp,0.19059587482938914
rgg_n_2_22_s0,baldo,2,4096,openmp,0.19059587482938914
europe_osm,baldo,2,4,openmp,0.7611116084044127
europe_osm,baldo,2,8,openmp,0.7611116084044127
europe_osm,baldo,2,16,openmp,0.7611116084044127
europe_osm,baldo,2,32,openmp,0.7611116084044127
europe_osm,baldo,2,64,openmp,0.7611116084044127
europe_osm,baldo,2,256,openmp,0.7611116084044127
europe_osm,baldo,2,1024,openmp,0.7611116084044127
europe_osm,baldo,2,4096,openmp,0.7611116084044127
GAP-road,baldo,1,4,openmp,0.6309972429586791
GAP-road,baldo,1,8,openmp,0.6309972429586791
GAP-road,baldo,1,16,openmp,0.6309972429586791
GAP-road,baldo,1,32,openmp,0.6309972429586791
GAP-road,baldo,1,64,openmp,0.6309972429586791
GAP-road,baldo,1,256,openmp,0.6309972429586791
GAP-road,baldo,1,1024,openmp,0.6309972429586791
GAP-road,baldo,1,4096,openmp,0.6309972429586791
rgg_n_2_22_s0,baldo,1,4,openmp,0.3167417378059114
rgg_n_2_22_s0,baldo,1,8,openmp,0.3167417378059114
rgg_n_2_22_s0,baldo,1,16,openmp,0.3167417378059114
rgg_n_2_22_s0,baldo,1,32,openmp,0.3167417378059114
rgg_n_2_22_s0,baldo,1,64,openmp,0.3167417378059114
rgg_n_2_22_s0,baldo,1,256,openmp,0.3167417378059114
rgg_n_2_22_s0,baldo,1,1024,openmp,0.3167417378059114
rgg_n_2_22_s0,baldo,1,4096,openmp,0.3167417378059114
europe_osm,baldo,1,4,openmp,1.1034709873969069
europe_osm,baldo,1,8,openmp,1.1034709873969069
europe_osm,baldo,1,16,openmp,1.1034709873969069
europe_osm,baldo,1,32,openmp,1.1034709873969069
europe_osm,baldo,1,64,openmp,1.1034709873969069
europe_osm,baldo,1,256,openmp,1.1034709873969069
europe_osm,baldo,1,1024,openmp,1.1034709873969069
europe_osm,baldo,1,4096,openmp,1.1034709873969069
GAP-road,baldo,4,4,openmp,0.2634943687810901
GAP-road,baldo,4,8,openmp,0.2634943687810901
GAP-road,baldo,4,16,openmp,0.2634943687810901
GAP-road,baldo,4,32,openmp,0.2634943687810901
GAP-road,baldo,4,64,openmp,0.2634943687810901
GAP-road,baldo,4,256,openmp,0.2634943687810901
GAP-road,baldo,4,1024,openmp,0.2634943687810901
GAP-road,baldo,4,4096,openmp,0.2634943687810901
rgg_n_2_22_s0,baldo,4,4,openmp,0.15316839410352087
rgg_n_2_22_s0,baldo,4,8,openmp,0.15316839410352087
rgg_n_2_22_s0,baldo,4,16,openmp,0.15316839410352087
rgg_n_2_22_s0,baldo,4,32,openmp,0.15316839410352087
rgg_n_2_22_s0,baldo,4,64,openmp,0.15316839410352087
rgg_n_2_22_s0,baldo,4,256,openmp,0.15316839410352087
rgg_n_2_22_s0,baldo,4,1024,openmp,0.15316839410352087
rgg_n_2_22_s0,baldo,4,4096,openmp,0.15316839410352087
europe_osm,baldo,4,4,openmp,0.4104720499655366
europe_osm,baldo,4,8,openmp,0.4104720499655366
europe_osm,baldo,4,16,openmp,0.4104720499655366
europe_osm,baldo,4,32,openmp,0.4104720499655366
europe_osm,baldo,4,64,openmp,0.4104720499655366
europe_osm,baldo,4,256,openmp,0.4104720499655366
europe_osm,baldo,4,1024,openmp,0.4104720499655366
europe_osm,baldo,4,4096,openmp,0.4104720499655366
GAP-road,baldo,8,4,openmp,0.24666399920057988
GAP-road,baldo,8,8,openmp,0.24666399920057988
GAP-road,baldo,8,16,openmp,0.24666399920057988
GAP-road,baldo,8,32,openmp,0.24666399920057988
GAP-road,baldo,8,64,openmp,0.24666399920057988
GAP-road,baldo,8,256,openmp,0.24666399920057988
GAP-road,baldo,8,1024,openmp,0.24666399920057988
GAP-road,baldo,8,4096,openmp,0.24666399920057988
rgg_n_2_22_s0,baldo,8,4,openmp,0.09752104157623154
rgg_n_2_22_s0,baldo,8,8,openmp,0.09752104157623154
rgg_n_2_22_s0,baldo,8,16,openmp,0.09752104157623154
rgg_n_2_22_s0,baldo,8,32,openmp,0.09752104157623154
rgg_n_2_22_s0,baldo,8,64,openmp,0.09752104157623154
rgg_n_2_22_s0,baldo,8,256,openmp,0.09752104157623154
rgg_n_2_22_s0,baldo,8,1024,openmp,0.09752104157623154
rgg_n_2_22_s0,baldo,8,4096,openmp,0.09752104157623154
europe_osm,baldo,8,4,openmp,0.44848195120075907
europe_osm,baldo,8,8,openmp,0.44848195120075907
europe_osm,baldo,8,16,openmp,0.44848195120075907
europe_osm,baldo,8,32,openmp,0.44848195120075907
europe_osm,baldo,8,64,openmp,0.44848195120075907
europe_osm,baldo,8,256,openmp,0.44848195120075907
europe_osm,baldo,8,1024,openmp,0.44848195120075907
europe_osm,baldo,8,4096,openmp,0.44848195120075907
GAP-road,baldo,16,4,openmp,0.4394561711161782
GAP-road,baldo,16,8,openmp,0.4394561711161782
GAP-road,baldo,16,16,openmp,0.4394561711161782
GAP-road,baldo,16,32,openmp,0.4394561711161782
GAP-road,baldo,16,64,openmp,0.4394561711161782
GAP-road,baldo,16,256,openmp,0.4394561711161782
GAP-road,baldo,16,1024,openmp,0.4394561711161782
GAP-road,baldo,16,4096,openmp,0.4394561711161782
rgg_n_2_22_s0,baldo,16,4,openmp,0.2154211530264738
rgg_n_2_22_s0,baldo,16,8,openmp,0.2154211530264738
rgg_n_2_22_s0,baldo,16,16,openmp,0.2154211530264738
rgg_n_2_22_s0,baldo,16,32,openmp,0.2154211530264738
rgg_n_2_22_s0,baldo,16,64,openmp,0.2154211530264738
rgg_n_2_22_s0,baldo,16,256,openmp,0.2154211530264738
rgg_n_2_22_s0,baldo,16,1024,openmp,0.2154211530264738
rgg_n_2_22_s0,baldo,16,4096,openmp,0.2154211530264738
europe_osm,baldo,16,4,openmp,0.733868957643868
europe_osm,baldo,16,8,openmp,0.733868957643868
europe_osm,baldo,16,16,openmp,0.733868957643868
europe_osm,baldo,16,32,openmp,0.733868957643868
europe_osm,baldo,16,64,openmp,0.733868957643868
europe_osm,baldo,16,256,openmp,0.733868957643868
europe_osm,baldo,16,1024,openmp,0.733868957643868
europe_osm,baldo,16,4096,openmp,0.733868957643868
GAP-road,baldo,32,4,openmp,0.5689909491347525
GAP-road,baldo,32,8,openmp,0.5689909491347525
GAP-road,baldo,32,16,openmp,0.5689909491347525
GAP-road,baldo,32,32,openmp,0.5689909491347525
GAP-road,baldo,32,64,openmp,0.5689909491347525
GAP-road,baldo,32,256,openmp,0.5689909491347525
GAP-road,baldo,32,1024,openmp,0.5689909491347525
GAP-road,baldo,32,4096,openmp,0.5689909491347525
rgg_n_2_22_s0,baldo,32,4,openmp,0.18788876293961262
rgg_n_2_22_s0,baldo,32,8,openmp,0.18788876293961262
rgg_n_2_22_s0,baldo,32,16,openmp,0.18788876293961262
rgg_n_2_22_s0,baldo,32,32,openmp,0.18788876293961262
rgg_n_2_22_s0,baldo,32,64,openmp,0.18788876293961262
rgg_n_2_22_s0,baldo,32,256,openmp,0.18788876293961262
rgg_n_2_22_s0,baldo,32,1024,openmp,0.18788876293961262
rgg_n_2_22_s0,baldo,32,4096,openmp,0.18788876293961262
europe_osm,baldo,32,4,openmp,1.148108342832158
europe_osm,baldo,32,8,openmp,1.148108342832158
europe_osm,baldo,32,16,openmp,1.148108342832158
europe_osm,baldo,32,32,openmp,1.148108342832158
europe_osm,baldo,32,64,openmp,1.148108342832158
europe_osm,baldo,32,256,openmp,1.148108342832158
europe_osm,baldo,32,1024,openmp,1.148108342832158
europe_osm,baldo,32,4096,openmp,1.148108342832158
